GROUP,CODE,NAME,year,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,COVERAGE,US president,party
COUNTRIES,USA,United States of America,2024,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Joe Biden,Democrat
COUNTRIES,USA,United States of America,2023,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Joe Biden,Democrat
COUNTRIES,USA,United States of America,2022,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Joe Biden,Democrat
COUNTRIES,USA,United States of America,2021,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Joe Biden,Democrat
COUNTRIES,USA,United States of America,2020,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91.0,Joe Biden,Democrat
COUNTRIES,USA,United States of America,2019,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90.0,Donald Trump,Republican
COUNTRIES,USA,United States of America,2018,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Donald Trump,Republican
COUNTRIES,USA,United States of America,2017,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91.0,Donald Trump,Republican
COUNTRIES,USA,United States of America,2016,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Donald Trump,Republican
COUNTRIES,USA,United States of America,2015,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2014,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2013,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2012,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2011,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2010,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92.0,Barack Obama,Democrat
COUNTRIES,USA,United States of America,2009,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90.0,Barack Obama,Democrat
